_id,place,name,__v
67221dd4aa7b9aa9ba128b7e,ABDULLAPURMET,,
67221dd4aa7b9aa9ba128b7f,ABIDS,,
67221dd4aa7b9aa9ba128b80,ADIBATLA,,
67221dd4aa7b9aa9ba128b81,ADIKMET,,
67221dd4aa7b9aa9ba128b82,AFZALGUNJ,,
67221dd4aa7b9aa9ba128b83,ALICAFE,,
67221dd4aa7b9aa9ba128b84,ALKAPURI,,
67221dd4aa7b9aa9ba128b85,ALLAPUR,,
67221dd4aa7b9aa9ba128b86,ALLWYN COLONY,,
67221dd4aa7b9aa9ba128b87,ALMASGUDA,,
67221dd4aa7b9aa9ba128b88,AMBERPET,,
67221dd4aa7b9aa9ba128b89,AMEERPET,,
67221dd4aa7b9aa9ba128b8a,ANAJPUR,,
67221dd4aa7b9aa9ba128b8b,ANAND NAGAR,,
67221dd4aa7b9aa9ba128b8c,ANJANEYA TOWER,,
67221dd4aa7b9aa9ba128b8d,ARAMGHAR,,
67221dd4aa7b9aa9ba128b8e,ARTS COLLEGE,,
67221dd4aa7b9aa9ba128b8f,ARUNODHAYA NAGAR,,
67221dd4aa7b9aa9ba128b90,ASHOK NAGAR,,
67221dd4aa7b9aa9ba128b91,BHEL,,
67221dd4aa7b9aa9ba128b92,ASSEMBLY,,
67221dd4aa7b9aa9ba128b93,ATTAPUR,,
67221dd4aa7b9aa9ba128b94,AUTO NAGAR,,
67221dd4aa7b9aa9ba128b95,BACHARAM,,
67221dd4aa7b9aa9ba128b96,BADANGPET,,
67221dd4aa7b9aa9ba128b97,BAHADURPURA,,
67221dd4aa7b9aa9ba128b98,BALANAGAR,,
67221dd4aa7b9aa9ba128b99,BALAPUR,,
67221dd4aa7b9aa9ba128b9a,BANDLAGUDA,,
67221dd4aa7b9aa9ba128b9b,BANJARA HILLS,,
67221dd4aa7b9aa9ba128b9c,BEGUMPET,,
67221dd4aa7b9aa9ba128b9d,BHAGYALATHA,,
67221dd4aa7b9aa9ba128b9e,BHARATH NAGAR,,
67221dd4aa7b9aa9ba128b9f,BHOIGUDA,,
67221dd4aa7b9aa9ba128ba0,BODUPPAL,,
67221dd4aa7b9aa9ba128ba1,BORABANDA,,
67221dd4aa7b9aa9ba128ba2,BOWENPALLY,,
67221dd4aa7b9aa9ba128ba3,BRAHMANAPALLY,,
67221dd4aa7b9aa9ba128ba4,BRINDAVAN COLONY,,
67221dd4aa7b9aa9ba128ba5,CBS,,
67221dd4aa7b9aa9ba128ba6,CHADARGHAT,,
67221dd4aa7b9aa9ba128ba7,CHAITANYAPURI,,
67221dd4aa7b9aa9ba128ba8,CHAMPAPET,,
67221dd4aa7b9aa9ba128ba9,CHANAKYAPURI,,
67221dd4aa7b9aa9ba128baa,CHANDANAGAR,,
67221dd4aa7b9aa9ba128bab,CHENGICHERLA,,
67221dd4aa7b9aa9ba128bac,CHIKKADAPALLY,,
67221dd4aa7b9aa9ba128bad,CHILKALGUDA,,
67221dd4aa7b9aa9ba128bae,CHINTHALKUNTA,,
67221dd4aa7b9aa9ba128baf,CITY COLLEGE,,
67221dd4aa7b9aa9ba128bb0,DANAMA JHOPDI,,
67221dd4aa7b9aa9ba128bb1,DHATU NAGAR,,
67221dd4aa7b9aa9ba128bb2,DILSUKHNAGAR,,
67221dd4aa7b9aa9ba128bb3,DRDL,,
67221dd4aa7b9aa9ba128bb4,DWARAKANAGAR,,
67221dd4aa7b9aa9ba128bb5,ERRAGADDA,,
67221dd4aa7b9aa9ba128bb6,FEROZGUDA,,
67221dd4aa7b9aa9ba128bb7,FEVER HOSP,,
67221dd4aa7b9aa9ba128bb8,G.V.K,,
67221dd4aa7b9aa9ba128bb9,GACHIBOWLI,,
67221dd4aa7b9aa9ba128bba,GAJULARAMARAM,,
67221dd4aa7b9aa9ba128bbb,GANDHI NAGAR,,
67221dd4aa7b9aa9ba128bbc,GANDICHERUVU,,
67221dd4aa7b9aa9ba128bbd,GANDIMAISAMMA,,
67221dd4aa7b9aa9ba128bbe,GANDIPET,,
67221dd4aa7b9aa9ba128bbf,GANESH NAGAR,,
